audio,text
3214-167607-0000.flac,WHY AND HOW WERE THE BATTLES OF SHEVARDINO AND BORODINO GIVEN AND ACCEPTED WHY WAS THE BATTLE OF BORODINO FOUGHT THERE WAS NOT THE LEAST SENSE IN IT FOR EITHER THE FRENCH OR THE RUSSIANS ITS IMMEDIATE RESULT FOR THE RUSSIANS WAS AND WAS BOUND TO BE
3214-167607-0001.flac,THAT WE WERE BROUGHT NEARER TO THE DESTRUCTION OF MOSCOW WHICH WE FEARED MORE THAN ANYTHING IN THE WORLD AND FOR THE FRENCH ITS IMMEDIATE RESULT WAS THAT THEY WERE BROUGHT NEARER TO THE DESTRUCTION OF THEIR WHOLE ARMY WHICH THEY FEARED MORE THAN ANYTHING IN THE WORLD
3214-167607-0002.flac,WHAT THE RESULT MUST BE WAS QUITE OBVIOUS AND YET NAPOLEON OFFERED AND KUTUZOV ACCEPTED THAT BATTLE IF THE COMMANDERS HAD BEEN GUIDED BY REASON IT WOULD SEEM THAT IT MUST HAVE BEEN OBVIOUS TO NAPOLEON
3214-167607-0003.flac,THAT BY ADVANCING THIRTEEN HUNDRED MILES AND GIVING BATTLE WITH A PROBABILITY OF LOSING A QUARTER OF HIS ARMY HE WAS ADVANCING TO CERTAIN DESTRUCTION AND IT MUST HAVE BEEN EQUALLY CLEAR TO KUTUZOV THAT BY ACCEPTING BATTLE
3214-167607-0004.flac,AND GO ON EXCHANGING I SHALL CERTAINLY LOSE AND THEREFORE SHOULD NOT EXCHANGE WHEN MY OPPONENT HAS SIXTEEN MEN AND I HAVE FOURTEEN I AM ONLY ONE EIGHTH WEAKER THAN HE BUT WHEN I HAVE EXCHANGED THIRTEEN MORE MEN
3214-167607-0005.flac,HE WILL BE THREE TIMES AS STRONG AS I AM BEFORE THE BATTLE OF BORODINO OUR STRENGTH IN PROPORTION TO THE FRENCH WAS ABOUT AS FIVE TO SIX BUT AFTER THAT BATTLE IT WAS LITTLE MORE THAN ONE TO TWO PREVIOUSLY
3214-167607-0006.flac,WE HAD A HUNDRED THOUSAND AGAINST A HUNDRED AND TWENTY THOUSAND AFTERWARDS LITTLE MORE THAN FIFTY THOUSAND AGAINST A HUNDRED THOUSAND YET THE SHREWD AND EXPERIENCED KUTUZOV ACCEPTED THE BATTLE WHILE NAPOLEON
3214-167607-0007.flac,AS HE HAD ENDED A PREVIOUS CAMPAIGN BY OCCUPYING VIENNA THERE IS MUCH EVIDENCE TO THE CONTRARY NAPOLEON'S HISTORIANS THEMSELVES TELL US THAT FROM SMOLENSK ONWARDS HE WISHED TO STOP
3214-167607-0008.flac,TO HIS REPEATED ANNOUNCEMENTS OF HIS WISH TO NEGOTIATE IN GIVING AND ACCEPTING BATTLE AT BORODINO KUTUZOV ACTED INVOLUNTARILY AND IRRATIONALLY BUT LATER ON TO FIT WHAT HAD OCCURRED
3214-167607-0009.flac,THE HISTORIANS PROVIDED CUNNINGLY DEVISED EVIDENCE
3214-167607-0010.flac,OF ALL THE BLIND TOOLS OF HISTORY WERE THE MOST ENSLAVED AND INVOLUNTARY THE ANCIENTS HAVE LEFT US MODEL HEROIC POEMS IN WHICH THE HEROES FURNISH THE WHOLE INTEREST OF THE STORY
