keyword,phoneme,hypothesis_1,hypothesis_2,hypothesis_3,score_1,score_2,score_3
hi_lumina,HHIHLUWMIHNAH,HHEYND AHNN NAW,PEYBIHN  NAAR,HHEY AH LIY NAW,0.5371180772781372,0.46521371603012085,0.5182854533195496
hey_android,HHEYNDROYD,HHEY AHN GAET AHGUW,HHEY AHND DHIHNT AY LIY,HHEY AHN DHAET AYDHIHT,0.4544956386089325,0.48172828555107117,0.4413999915122986
hey_snapdragon,HHEYNSTAARPAAND,HHEYZ NAH NERAHDWOWL,HHIHN SIHNAEP DHEHR AHWOWNG,HHEYZ NAHV DHAEN AY WAHN,0.4170721769332886,0.39729708433151245,0.5274386405944824
hi_lumina,HHIHLUWMIHNAH,HHAY LUW DHIHN AH,HHAY LUW LIHN AH,HHAY LIH AHN AH,0.5255668759346008,0.5369826555252075,0.44681936502456665
hey_android,HHEYNDROYD,AHN DERAHD,HHEY AHN DR OYD,HHEY AENDER,0.45732593536376953,0.4607306718826294,0.5832359790802002
hi_galaxy,HHAYGAELAHKIYS,HHAY GAWLKSIY,AY GAWKSIY,HHAY GEHKS DHIY,0.8144132494926453,0.7261555790901184,0.5656623244285583
hey_snapdragon,HHEYNSTAARPAAND,HHIHZ DHAE TRERNGGIHN,HHIHZ NEH TERN IHN,HHIHS NEHT TRAYGAHN,0.4770320653915405,0.5200833082199097,0.4651672840118408
hi_lumina,HHIHLUWMIHNAH,HHAWV DHUWWLAH,HHAW LIY MIHN AE,AWOW UW MIH AE,0.5050002336502075,0.6134346127510071,0.472543865442276
hey_android,HHEYNDROYD,HHEY OWND HH,HHEY IHNDAY,HHEY IHNDIHNG,0.5541636347770691,0.639285683631897,0.6111100316047668
hi_galaxy,HHAYGAELAHKIYS,AWL WAY THIY,AEV AY THIYN,AW GAYL FUW,0.5614712834358215,0.5200743079185486,0.520182728767395
hey_snapdragon,HHEYNSTAARPAAND,HHEYZ WAA BAEDWAHN,HHEYLZ MAA GAWKAHNG,HHEYZ WAAK GAWBOWN,0.42353975772857666,0.4518631100654602,0.4284028112888336
hi_lumina,HHIHLUWMIHNAH,HHERLAHN AE,HHAYD AHN OW,HHOWAHN AHN,0.5657784938812256,0.5890591144561768,0.5091538429260254
hey_android,HHEYNDROYD,HHEY EHNDDHAH OWN,HHEY AHNDDHEHR OW,WOWL  AHN DERRERAH,0.5058435797691345,0.5061805844306946,0.3873988389968872
hi_galaxy,HHAYGAELAHKIYS,HHER DIHDHIY,HHAW IH DHIY,HHER IHN AH THIY,0.5420178174972534,0.5613064765930176,0.6331822872161865
hey_snapdragon,HHEYNSTAARPAAND,HHAAZ DHEHT DHAH ER IH,HHAEZ NEHTER IH,HHOWZ HHIHTHAHERDER,0.47462621331214905,0.44312697649002075,0.3915424644947052
hi_lumina,HHIHLUWMIHNAH,PAY LIHMAHN AH,AY LUW MIHNAH,PAYM LUWMIHN AHT,0.4573901295661926,0.4974532127380371,0.49940887093544006
hey_android,HHEYNDROYD,HHEY AENGOW,HHEY EHR UW,HHEY AEN RAOIHNG,0.5694433450698853,0.5555588603019714,0.5352077484130859
hi_galaxy,HHAYGAELAHKIYS,HHAY DHEHZIY,HHAY GAWIHNGK DHIY,HHAY DEHLAHNSIY,0.5194283723831177,0.5750085711479187,0.4878639578819275
hey_snapdragon,HHEYNSTAARPAAND,HHEYIHZ MAETAY IHN,HHEYZ MAEGAYD IHN,DHEYZ NAET GRAYDAHN,0.510430634021759,0.4792412519454956,0.5820615291595459
hi_lumina,HHIHLUWMIHNAH,HHAYD LUH DHAHNAH,PAY LAH LIHNAH,FAY IHN AA,0.4956134855747223,0.5241400599479675,0.5651652216911316
hey_android,HHEYNDROYD,HHEY AHND TUHT,HHEY AHND AHN,HHEY AHND DAHD,0.6872945427894592,0.6766608953475952,0.7685851454734802
hi_galaxy,HHAYGAELAHKIYS,HHAY GAHLIYGSIY,HHAY GAWDHAHKSIY,HHAY GAALAHGZIY,0.6004741787910461,0.7835950255393982,0.5919215083122253
hey_snapdragon,HHEYNSTAARPAAND,HHEYS NEHPTAY IHN,HHEYZ NAEPTRAYG AHN,HHEYZ NAATTRAEGAHN,0.5597056150436401,0.5216889977455139,0.5967561602592468
hi_lumina,HHIHLUWMIHNAH,AY LAHMAH,HHAELAHMLAH,HHAYLAHMAH AH,0.6583026051521301,0.555202305316925,0.5631199479103088
hey_android,HHEYNDROYD,HHEHRDER,HHEHRDER,HHEYAENER,0.804085910320282,0.6283809542655945,0.6923907995223999
hi_galaxy,HHAYGAELAHKIYS,AY OWVSIHN,HHAY GAWSIY,AY HHAW DHIHNG,0.5574665069580078,0.5495887398719788,0.6158002614974976
hey_snapdragon,HHEYNSTAARPAAND,IHZ NEHTAAR AHN,DHIHZ DHAE TAAR AHN,IHZDHAE TAARAHN,0.4707610011100769,0.4789141118526459,0.5054020285606384
hi_lumina,HHIHLUWMIHNAH,FAYLIHNG WIY NAE,HHAYLIYNIY NOWN,HHAW WUWMIY NOW,0.5166623592376709,0.49136292934417725,0.5447924137115479
hey_android,HHEYNDROYD,HHEYERNJHAOAYD,HHEYLAHNDER AYD,EYL IHNJHERD,0.4543355107307434,0.49763455986976624,0.5007485747337341
hi_galaxy,HHAYGAELAHKIYS,HHAW DAWAHKSIY,AY GAEKSIY,HHAE GAEIHKSIY,0.5588464736938477,0.5121672749519348,0.6093407273292542
hey_snapdragon,HHEYNSTAARPAAND,HHEYZ AETER AY IHN,HHEYS NAET JHRAENGIHN,HHEYS NAEN JHRAENGGIHN,0.4510606825351715,0.49920186400413513,0.44045308232307434
hi_lumina,HHIHLUWMIHNAH,AYLIHMAHN AH,HHAYLIY MAHN ,HHAYLAHLAHAH,0.5225133299827576,0.7030786871910095,0.5157772898674011
hey_android,HHEYNDROYD,HHEY AHNDRAHD,HHEY AHNDAYD,HHEY EHNDERAH,0.6695459485054016,0.6092267036437988,0.8774902820587158
